name	refnum	singleton	type	label	label_color	image	view_price	template	page	kind	parts	sample	series	category_ids	solution_ids	capacity	detail	annotation	small_detail	ingredient
ナチュラルテック　シャンプー＜E＞	71146	0	Product::Naturaltech	エイジングケア<sup>＊1</sup>用		energizing_img01 e_img02	1995	naturaltech_e	naturaltech_e_1	シャンプー		0	</sup>	2	1	250mL	カフェイン<sup>＊2</sup>やギンバイカ<sup>＊3</sup>とベータグルカン<sup>＊4</sup>のブレンドが頭皮のエイジングケア<sup>＊1</sup>に働きます。根元からハリやコシを与え、ボリューム感のある美しい仕上がりへと導きます。ミントやスパイシーなシナモン、ジンジャー、ブラックペッパーの香りは清涼感に溢れ、頭皮をスッキリさせたい時にぴったりです。	<sup>＊1</sup>：エイジングケアとは、年齢に応じた化粧品によるケアのことです。　<sup>＊2</sup>：コンディショニング成分　<sup>＊3</sup>：保護成分　<sup>＊4</sup>：保湿成分	根元からハリやコシを与え、ボリューム感のある仕上がりへと導きます。	＜成分＞水・ラウロイルメチルイセチオン酸Ｎａ・オリーブアンホ酢酸Ｎａ・ラウロイルサルコシンＮａ・ポリソルベート２０・カフェイン・（アクリレーツ／アクリル酸アルキル（Ｃ１０－３０））クロスポリマー・セイヨウハッカ油・ヤシ油アルキルグルコシド・オレイン酸グリセリル・ユーカリ葉油・加水分解ギンバイカ葉エキス・カルボキシメチル－β－グルカンＮａ・ポリクオタニウム－１０・水酸化Ｎａ・安息香酸Ｎａ・ベンジルアルコール・エチレンジアミンジコハク酸３Ｎａ・ＥＤＴＡ－２Ｎａ・リモネン・オイゲノール・リナロール・香料・赤２２７・黄４
ナチュラルテック　スカルプローション＜E＞	71149	0	Product::Naturaltech	エイジングケア<sup>＊1</sup>用		energizing_img04	6825	naturaltech_e	naturaltech_e_2	スカルプローション		0	naturaltech	4	1	100mL	ハリやコシのある健康な髪へと導く、爽快感が心地よいエイジングケア<sup>＊1</sup>用ローション。ユーカリ葉油<sup>＊2</sup>が頭皮に柔軟性を与え、スパイシーですっきりとした香りが頭皮の匂いを抑えます。しっかりとマッサージすることでキメを整え、健やかな頭髪を目指します。	<sup>＊1</sup>：エイジングケアとは、年齢に応じた化粧品によるケアのことです。　<sup>＊2</sup>：コンディショニング成分　<sup>＊3</sup>：香りにより毛髪・頭皮の不快臭を抑えます。	ハリやコシのある健康な髪へと導く、爽快感が心地よいエイジングケア用ローション。	＜成分＞水・変性アルコール・ポリソルベート２０・ユーカリ葉油・カフェイン・加水分解ギンバイカ葉エキス・カルボキシメチル－β－グルカンＮａ・メントール・クエン酸・オイゲノール・リナロール・リモネン・安息香酸ベンジル・ケイヒアルデヒド・フェノキシエタノール・香料
ナチュラルテック　シャンプー＜N＞	71152	0	Product::Naturaltech	ダメージヘア用		nourishing_img01 n_img02	1995	naturaltech_n	naturaltech_n_1	シャンプー		0	naturaltech	2	2	250mL	乾燥やパサつきが気になるヘアに輝くような艶とハリをもたらします。グレープエキス<sup>＊</sup>が傷んだ髪をしっかりと補修します。高い保護・保湿作用でしられるアサイーオイルを配合。マンダリン、プチグレン、イランイランの甘く官能的な香りが心までも包み込み、ダメージのない健やかな髪を目指します。<br><br><small><sup>＊</sup>：保護成分</small>		乾燥やパサつきが気になるヘアに輝くような艶とハリをもたらします。	＜成分＞水・ラウロイルメチルイセチオン酸Ｎａ・ココアンホジ酢酸２Ｎａ・ポリソルベート２０・グリセリン・クダモノトケイソウ種子油・コメヌカ油・アサイヤシ果実油・ブドウ葉エキス・ヤシ油アルキルグルコシド・オレイン酸グリセリル・（アクリレーツ／アクリル酸アルキル（Ｃ１０－３０））クロスポリマー・ココイルイセチオン酸Ｎａ・ラウロアンホ酢酸Ｎａ・ココイルメチルタウリンＮａ・エチレンジアミンジコハク酸３Ｎａ・ジステアリン酸グリコール・ポリクオタニウム－１０・ＥＤＴＡ－２Ｎａ・ポリクオタニウム－６７・ステアリン酸グリセリル・ヘキシルシンナマル・リナロール・リモネン・水酸化Ｎａ・ベンジルアルコール・安息香酸Ｎａ・香料・黄４・赤２２７・青１
ナチュラルテック　コンディショナー＜N＞	71154	0	Product::Naturaltech	ダメージヘア用		nourishing_img04	2625	naturaltech_n	naturaltech_n_2	コンディショナー		0	naturaltech	3	2	250mL	指どおりもなめらかに、シルクのような手触りへと導きます。日々蓄積する髪の傷みを効果的に補修し、うるおいに満ちたしっとりヘアを実現。保護作用の高いコメヌカオイル 、ホホバオイル<sup>＊1</sup>が乾燥を防ぎ、健康的でしなやかな髪をキープします。	<sup>＊1</sup>：エモリエント成分　<sup>＊2</sup>：エイジングケアとは、年齢に応じた化粧品によるケアのことです。　<sup>＊3</sup>：香りにより毛髪・頭皮の不快臭を抑えます。	指どおりもなめらかに、シルクのような手触りへと導きます。	＜成分＞水・セテアリルアルコール・グリセリン・セトリモニウムクロリド・ベヘントリモニウムクロリド・クダモノトケイソウ種子油・コメヌカ油・アサイヤシ果実油・ホホバ種子油・水添アーモンド油・加水分解コムギタンパク・ブドウ葉エキス・ベヘントリモニウムメトサルフェート・ベンジルアルコール・クエン酸・安息香酸Ｎａ・ヘキシルシンナマル・リナロール・リモネン・香料
ナチュラルテック　ヘアパック＜N＞	71155	0	Product::Naturaltech	ダメージヘア用		nourishing_img06	3570	naturaltech_n	naturaltech_n_3	ヘアパック		0	naturaltech	3	2	250mL	髪のダメージやパサつきが気になる髪を集中補修します。とろりとしたクリーミーなテクスチャーで、傷んだ髪にもすばやく広がり、たっぷりのうるおいで包みます。グレープエキス<sup>＊</sup>が集中補修をサポート、切れ毛や枝毛を防いで髪の芯からなめらかに仕上げます。定期的に使ってほしい髪へのご褒美です。<br><br><small><sup>＊</sup>：保護成分</small>		髪のダメージやパサつきが気になる髪を集中補修します。	＜成分＞水・セテアリルアルコール・グリセリン・セトリモニウムクロリド・香料・セタノール・カプリル酸ヤシ油アルキル・加水分解ケラチン・ケラチン・加水分解コムギタンパク・ホホバ種子油・ブドウ葉エキス・ベヘントリモニウムクロリド・ベヘニルアルコール・ベヘントリモニウムメトサルフェート・ジメチコン・トコフェロール・クエン酸・安息香酸Ｎａ・ＥＤＴＡ－２Ｎａ・ソルビン酸Ｋ・フェノキシエタノール・ベンジルアルコール・ヘキシルシンナマル・リナロール・リモネン・シトラール
ナチュラルテック　ヘアミスト＜N＞	71159	0	Product::Naturaltech	ダメージヘア用		nourishing_img07	3150	naturaltech_n	naturaltech_n_4	ヘアミスト		0	naturaltech	4	2	100mL	ドライヤーの熱による乾燥から守り、うるおいとツヤを与えるヘアミスト。寝ぐせをリセットする時や、静電気が気になる時にも便利です。グレープ<sup>＊</sup>・シロバナワタエキス<sup>＊</sup>が傷んだ髪を補修します。ふんわりと自然なボリューム感のある仕上がりへと導きます。<br><br><small><sup>＊</sup>：コンディショニング成分</small>		ドライヤー熱による乾燥から守りうるおいとツヤを与えるヘアミスト。	＜成分＞水・ＰＧ・グリセリン・ポリソルベート２０・ブドウ葉エキス・シロバナワタエキス・スーパーオキシドジスムターゼ・ＢＧ・セトリモニウムクロリド・クエン酸・ＥＤＴＡ－２Ｎａ・ヘキシルシンナマル・リナロール・リモネン・シトラール・ソルビン酸Ｋ・安息香酸Ｎａ・香料・黄４
ナチュラルテック　シャンプー＜R＞	71164	0	Product::Naturaltech	オイリーヘア用		rebalancing_img01 5A_(R)	1995	naturaltech_r	naturaltech_r_1	シャンプー		0	naturaltech	2	4	250mL	オイリーに傾きがちなヘアをすっきりサラサラに整えます。油分と水分のバランスを保ち、髪はまとまりやすくなります。<br>レモン<sup>＊1</sup>やワレモコウ<sup>＊1</sup>、ショウガエキス<sup>＊1</sup>が頭皮を清潔に、カモミール、シダーウッド、日本緑茶の清々しい香りのブレンドが頭皮の匂いを抑えます。しっかり汗をかいた後や湿気の多い季節におすすめです。	<sup>＊1</sup>：コンディショニング成分　<sup>＊2</sup>：香りにより毛髪・頭皮の不快臭を抑えます。　<sup>＊3</sup>：エイジングケアとは、年齢に応じた化粧品によるケアのことです。	オイリーに傾きがちなヘアをすっきりサラサラに整えます。	＜成分＞水・ラウロイルメチルイセチオン酸Ｎａ・オリーブアンホ酢酸Ｎａ・ラウロイルサルコシンＮａ・（アクリレーツ／アクリル酸アルキル（Ｃ１０－３０））クロスポリマー・ポリクオタニウム－１０・ポリクオタニウム－６７・レモン葉エキス・ワレモコウエキス・カシア樹皮エキス・ショウガ根エキス・水酸化Ｎａ・塩化Ｎａ・ＢＧ・ポリソルベート２０・ＥＤＴＡ－２Ｎａ・エチレンジアミンジコハク酸３Ｎａ・安息香酸Ｎａ・ベンジルアルコール・オイゲノール・ゲラニオール・リナロール・ケイヒアルデヒド・シトロネロール・香料
ナチュラルテック　スクラブ　シャンプー＜D＞	71168	0	Product::Naturaltech	スカルプケア用		detoxifying_img01 d_img02	1995	naturaltech_d	naturaltech_d_1	シャンプー		0	naturaltech	2	4	250mL	本来の美髪へと一歩近づくために、髪質にかかわらず定期的に取り入れたいスクラブシャンプー。微細なシリカ<sup>＊1</sup>のスクラブ入りは個性的で、その感触はやみつきになります。スクラブは髪の根元の不要な角質、酸化した皮脂汚れを取り去ります。カルダモン、コリアンダー、ミントのエキゾチックな香りは、頭皮の匂いも抑えてくれます。	<sup>＊1</sup>:キメ整え成分　<sup>＊2</sup>：エイジングケアとは、年齢に応じた化粧品によるケアのことです。	本来の美髪へと一歩近づくために、髪質にかかわらず定期的に取り入れたいスクラブシャンプー。	＜成分＞水・ラウロイルメチルイセチオン酸Ｎａ・ラウロイルサルコシンＮａ・グリセリン・オリーブアンホ酢酸Ｎａ・ポリソルベート２０・シリカ・ホホバエステル・アーチチョーク葉エキス・（アクリレーツ／アクリル酸アルキル（Ｃ１０－３０））クロスポリマー・ヤシ油アルキルグルコシド・オレイン酸グリセリル・ジステアリン酸グリコール・ポリクオタニウム－１０・エチレンジアミンジコハク酸３Ｎａ・ポリクオタニウム－６７・ＥＤＴＡ－２Ｎａ・安息香酸ベンジル・ステアリン酸グリセリル・水酸化クロム・リモネン・水酸化Ｎａ・ベンジルアルコール・安息香酸Ｎａ・香料
ナチュラルテック　シャンプー＜C＞	71177	0	Product::Naturaltech	デリケートヘア用		calming_img01 c_img02	1995	naturaltech_c	naturaltech_c_1	シャンプー		0	naturaltech	2	3	250mL	軽いダメージのある髪を補修しながら優しく洗い上げます。巻いたり、パーマやカラーなどで傷んだデリケートな髪をいたわり、ダメージの進行を抑えます。またブルーベリーエキス<sup>＊</sup>が頭皮のキメを整えます。パチョリ、シダーウッドの深く、神聖な森にいるような香りが至福のひとときをもたらします。<br><br><small><sup>＊</sup>：保護成分</small>		軽いダメージのある髪を補修しながら優しく洗い上げます。	＜成分＞水・ラウロイルメチルイセチオン酸Ｎａ・ラウロイルサルコシンＮａ・グリセリン・オリーブアンホ酢酸Ｎａ・ポリソルベート２０・ヤシ油アルキルグルコシド・カホクザンショウ果実エキス・ビルベリー葉エキス・オレイン酸グリセリル・カプリリルグリコール・（アクリレーツ／アクリル酸アルキル（Ｃ１０－３０））クロスポリマー・エチレンジアミンジコハク酸３Ｎａ・ポリクオタニウム－１０・オレイルアルコール・ＥＤＴＡ－２Ｎａ・ポリクオタニウム－６７・カプリルヒドロキサム酸・安息香酸Ｎａ・香料・赤２２７
ナチュラルテック　シャンプー＜W＞	71170	0	Product::Naturaltech	保湿ケア用		wellbeing_img01 w_img2	1995	naturaltech_w	naturaltech_w_1	シャンプー		0	naturaltech	2	5	250mL	乾燥しやすい頭皮と髪のうるおいをキープします。環境の変化を受けやすい髪を強くしなやかな髪質へと導きます。髪のうるおいを保つエチナセア<sup>＊</sup>配合で、理想的なふんわりとまとまるヘアに仕上げます。クローブ、ナツメグ、サンダルウッドのぬくもりのある女性らしい香りが、癒しのバスタイムを演出します。<br><br><small><sup>＊</sup>：コンディショニング成分</small>		乾燥しやすい頭皮と髪のうるおいをキープします。	＜成分＞水・ラウロイルメチルイセチオン酸Ｎａ・ココアンホジ酢酸２Ｎａ・グリセリン・ラウロイルサルコシンＮａ・（アクリレーツ／アクリル酸アルキル（Ｃ１０－３０））クロスポリマー・ジステアリン酸グリコール・エチナセアパリダエキス・ポリクオタニウム－１０・ヤシ油アルキルグルコシド・ポリクオタニウム－６７・ポリソルベート２０・ステアリン酸グリセリル・オレイン酸グリセリル・塩化Ｎａ・エチレンジアミンジコハク酸３Ｎａ・ＥＤＴＡ－２Ｎａ・ベンジルアルコール・安息香酸Ｎａ・サリチル酸ベンジル・リモネン・ヘキシルシンナマル・クエン酸・香料
